,date,username,tweet
289,2023-05-30 12:02:20+00:00,AJazuli5,rt ubah log pilpres kalahjadi indonesia
290,2023-05-30 12:01:57+00:00,svohneric,support gua pilpres
291,2023-05-30 12:00:38+00:00,termos_sergio,jongos anies sengaja sebar isu krn mrk tau anies nyungsep pilpres
292,2023-05-30 12:00:23+00:00,gonkcil,untung bom selesai gabener kuasa coba kalo selesai wan bacot be
293,2023-05-30 11:59:22+00:00,Semi03558529,covid somad covid mesti pikir kualitas oran
294,2023-05-30 11:59:20+00:00,qentrunx,suara gk putus harap kekhawatirankhawatiran bena
296,2023-05-30 11:52:52+00:00,WaraslahNKRI,rt ente nga guru pa beliau tau tdk dila
297,2023-05-30 11:50:44+00:00,fadsa90,dunia akademisi parpol anies pola komunikas
298,2023-05-30 11:50:18+00:00,sahfad2020,anies dukung generasi milineal didik pilpres
300,2023-05-30 11:47:23+00:00,Marnischaniago2,pilpres anies yohanes rasyid baswedan mena
301,2023-05-30 11:45:08+00:00,irdnek,khawatir anies gagal capres hasil pilpres anies kalah kompresor gantung
302,2023-05-30 11:44:40+00:00,Priagarislurus,lembagalembaga survei yg quick count pilpres tdk ubah tun
304,2023-05-30 11:41:52+00:00,eds_ph2157,kecoh pasang aniesdgn kans menang dlm pilpres bes
309,2023-05-30 11:35:13+00:00,Real_AdhiDompu,survei menang prabowo pas pilpresnih noh pindah negara turki ta
310,2023-05-30 11:33:57+00:00,IwanKurus8,ngeri presiden bilang cawecawe pilpres terangterangan bilang netral nge
311,2023-05-30 11:33:20+00:00,adzaniamedikasr,ketua umum prabowo mania immanuel ebenezer dukung all out dukung prabowo subianto pil
314,2023-05-30 11:31:14+00:00,maximilan_wolf,propinsi sabang merauke rite mianggas ri
315,2023-05-30 11:31:00+00:00,warnaloka,cawe kait milu pilpres je ka we olah konfirmasi keras pentol
317,2023-05-30 11:28:18+00:00,fachrymanan,kek takut banget yg kalo sampe anies baswedan pilpres sampe dilakuin ngejegal
318,2023-05-30 11:27:58+00:00,wenrohaloho,presiden jokowi pandang utk cawecawe dlm pilpres alas bs aja terima yg men
319,2023-05-30 11:27:38+00:00,JOINLampung,rt pilpres tarung darat kuat real menang kontestasiketum parpol cak imi
321,2023-05-30 11:26:03+00:00,yuniiiiar_,anies kpp rawan milik niat menang pilpres
323,2023-05-30 11:20:31+00:00,Shaka_Story,kalo situasi pilpres situasi korea tim anies vs ganjar gontok gon
325,2023-05-30 11:19:36+00:00,Shaka_Story,ga kdrama reborn richsituasi milu indonesia loh pilpres korsel chun do hwan jatuh
326,2023-05-30 11:18:20+00:00,jiee648220,dukung anies pilpres masyarakat ikhtiar bangsa
327,2023-05-30 11:18:10+00:00,DumpsYelly,pola komunikasi santun anies modal menang pilpres
329,2023-05-30 11:13:32+00:00,awalkoe,netral pilpres presiden kalimat adem didenger
331,2023-05-30 11:10:51+00:00,DumpsYelly,anies elemen sedia semangat fairplay pilpres raport demokrasi indonesia
332,2023-05-30 11:10:10+00:00,aff700313,jgn dendam waktu pecat jd menteri kl kalah batal pilpres
333,2023-05-30 11:09:43+00:00,Zahrun258,menang pilpres abdi negeri ungakap anies
334,2023-05-30 11:09:21+00:00,ujehsimanunggu,menang pilpres anies jumawa
336,2023-05-30 11:08:54+00:00,YanikWati,menang pilpres anies low profile
339,2023-05-30 11:05:37+00:00,ViviCidev,gaya pimpin anies karismatik masyarakat dukung pilpres
342,2023-05-30 11:03:36+00:00,elelcans,hadir netralitas negara aparatur pilpres anies kpp rawan peluang menang
348,2023-05-30 10:51:58+00:00,RealyullegR,sebenernya sih kl menangin pippres putar kl kaesang sekal
349,2023-05-30 10:48:06+00:00,Budionotaslim3,takut klo alphard tagih rawan aniesapa pura njagoin anies menang pilpres
350,2023-05-30 10:44:45+00:00,saifulmuhjab,peran jokowi beliau cewe cewe pilpres tarik
351,2023-05-30 10:41:50+00:00,MatJohar3,prediksi pilpres menang ganjar beda dgn jokowi pilpres
353,2023-05-30 10:41:07+00:00,misterbigwin,gak doa nnt jg pilpres gak drama
354,2023-05-30 10:41:06+00:00,yoyokbonaparte1,admin harga dukung prabowo waktu pilpres kemaren sarat
355,2023-05-30 10:40:14+00:00,Kaki_langit07,ente nga guru pa beliau tau tdk
357,2023-05-30 10:37:03+00:00,ariawiraID,jokowi cawe pilpres pilar bangsa ancam diam preside
358,2023-05-30 10:32:15+00:00,UwohMe,cocok sih klau prabowo ganjar sandingkanpak anies akn gentar ko lawan beliau pilpres
360,2023-05-30 10:29:40+00:00,alfisahdinardi,ketua umum urus nahdlatul ulama pbnu yahya cholil staquf ber
361,2023-05-30 10:29:37+00:00,alfisahdinardi,pesan kiaikiai prabowo nu menang kontestasi pilpres andr
362,2023-05-30 10:29:36+00:00,alfisahdinardi,jakarta cnn indonesia ketua dpd partai gerindra andre rosiade kiai nahdlatul ulama nu men
363,2023-05-30 10:27:23+00:00,alfisahdinardi,ardi papar hasil survei lsi denny ja kait tarung pilpres
364,2023-05-30 10:27:22+00:00,alfisahdinardi,viva politik teliti lingkar survei indonesia lsi denny ja ardi sopa mayoritas pilih pa
365,2023-05-30 10:27:05+00:00,lubis_punk,pilpres jual ayat ayat
366,2023-05-30 10:26:06+00:00,JohnTurah,gk takut jokowi gk pilpres
367,2023-05-30 10:25:16+00:00,alfisahdinardi,nu milik gudang kaderkader hebat mumpuni tampil pilpres
368,2023-05-30 10:25:13+00:00,alfisahdinardi,peluang yenny tertawa prabowo milik kalkulasi ele
